State,Year,Total Banks,Avg ROA,Avg Capital Ratio,Total Assets,Avg Uninsured Deposit Pct
MT,2023,39,1.8074300412759272,15.102037512825843,307756892,23.70125010288222
MT,2024,37,1.5337883315434215,14.836695951460426,305698226,23.469899814409125
MT,2025,36,1.6841070233213715,14.262212626661578,306169871,24.847124596733785
NC,2018,51,0.8783050897148551,24.72568743117618,8236084305,20.19268176137863
NC,2019,48,0.7947318223666595,27.682942785276502,8651907010,21.319144034989385
NC,2020,47,0.47161339340078734,19.57085832964497,10930821439,24.418184098453075
NC,2021,47,0.8803517357485687,17.670025438662954,12056124268,27.738459089240227
NC,2022,44,0.7902612063074856,17.347716688533392,12552663061,29.171799767082682
NC,2023,44,1.3881386653594883,18.7465336470521,13211632965,27.009551011889588
NC,2024,42,1.661611909396981,22.344013265747694,13441362891,26.45665981007804
NC,2025,40,1.944842487028469,22.218294423897653,13872356545,26.69696415413702
ND,2018,76,1.2381490351629778,16.190748152619218,121269382,20.088911367472928
ND,2019,75,1.3698431541103586,16.427446251594265,134458596,20.045514202403567
ND,2020,73,1.1957491612681121,7.519807901323808,158999851,22.238442559435114
ND,2021,69,1.233689014922297,8.526733295415472,185397374,24.34615953447935
ND,2022,65,0.9697063144730282,9.028943111261254,199744987,26.978997889682407
ND,2023,64,1.2660403000595382,8.56317696957396,222002743,25.09327859799891
ND,2024,63,1.1850556802259955,8.289743778233719,235656677,24.612856899658592
ND,2025,62,1.2729998196678936,8.077476341848934,250387068,24.83734115616973
NE,2018,174,1.1581718487695194,17.19584971444366,302947044,16.34502636017167
NE,2019,168,1.1305085265153558,17.270151224603904,321386609,16.91786677624557
NE,2020,161,1.1478170075226324,7.490645546340879,320032413,18.09875283007877
NE,2021,158,1.2954470489738763,7.339626022002476,356730339,20.29578870942609
NE,2022,152,0.9495088539933785,7.659940701875885,381390223,22.29110220943591
NE,2023,149,1.1115202770405674,7.797535761967848,409171753,20.375539566637688
NE,2024,148,1.0833009751288742,7.095500548835389,433299093,19.403521008563132
NE,2025,146,1.1845802532174863,7.273745240409314,448083066,20.547677417792496
